Origin Time:2019/04/09 23:13:21
Lon:121.58°E
Lat:23.98°N
Depth:11.5km
Mag:5.0
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist=   2.94,AZ=276.64,PGA(V)=  33.48,PGA(NS)= 106.21,PGA(EW)=  64.49
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   8.43,AZ=348.04,PGA(V)=  50.05,PGA(NS)=  89.81,PGA(EW)= 110.14
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=   9.47,AZ= 81.48,PGA(V)=  56.90,PGA(NS)= 183.90,PGA(EW)= 113.60
Stacode=TWD ,Staname=秀林  ,Stalon=121.60,Stalat=24.08,Dist=  11.60,AZ=190.08,PGA(V)=  20.43,PGA(NS)=  27.35,PGA(EW)=  29.53
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist=  20.31,AZ=191.02,PGA(V)=  12.44,PGA(NS)=  38.90,PGA(EW)=  47.43
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  21.24,AZ=  6.09,PGA(V)=  15.16,PGA(NS)=  30.69,PGA(EW)=  37.88
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  23.48,AZ= 38.43,PGA(V)=  14.23,PGA(NS)=  35.26,PGA(EW)=  51.34
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist=  27.40,AZ=157.53,PGA(V)=  11.26,PGA(NS)=  12.97,PGA(EW)=  11.78
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  30.18,AZ=  7.24,PGA(V)=   9.81,PGA(NS)=  21.87,PGA(EW)=  14.14
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist=  36.67,AZ=119.94,PGA(V)=   9.07,PGA(NS)=  12.59,PGA(EW)=  12.61
Stacode=EHP ,Staname=和平  ,Stalon=121.75,Stalat=24.31,Dist=  40.11,AZ=204.58,PGA(V)=   3.90,PGA(NS)=   4.40,PGA(EW)=   3.62
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  41.70,AZ= 86.40,PGA(V)=   8.28,PGA(NS)=  13.16,PGA(EW)=  13.87
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist=  41.94,AZ=201.98,PGA(V)=   2.51,PGA(NS)=   2.72,PGA(EW)=   3.55
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  45.74,AZ=130.72,PGA(V)=   2.18,PGA(NS)=  10.32,PGA(EW)=   9.92
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  52.36,AZ=198.57,PGA(V)=   1.56,PGA(NS)=   4.33,PGA(EW)=   4.13
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  52.44,AZ=124.96,PGA(V)=   1.73,PGA(NS)=   3.79,PGA(EW)=   2.14
